date,ticker,close,low,high
26.May.22,GOLD,1847.4,1840.4,1841.1
25.May.22,GOLD,1846.2,,
24.May.22,GOLD,1865.1,1852.5,1867
23.May.22,GOLD,1847.8,1845.8,1863
20.May.22,GOLD,1841.8,1836.3,1839.1
19.May.22,GOLD,1841.2,1810.7,1812.3
18.May.22,GOLD,1815.9,1805,1819.7
17.May.22,GOLD,1818.2,1816.7,1828.6
16.May.22,GOLD,1813.5,1787,1795
13.May.22,GOLD,1807.4,1813.1,1825
12.May.22,GOLD,1823.8,1822.2,1851.9
11.May.22,GOLD,1852.6,1841,1852.2
10.May.22,GOLD,1839.9,,
09.May.22,GOLD,1857.1,1854,1867.5
06.May.22,GOLD,1881.2,1871.5,1890.3
05.May.22,GOLD,1874,1876.3,1904.3
04.May.22,GOLD,1867,,
03.May.22,GOLD,1868.8,,
02.May.22,GOLD,1861.8,1853,1896.8
29.Apr.22,GOLD,1909.3,1902.4,1918.2
28.Apr.22,GOLD,1888.7,1872.9,1893
27.Apr.22,GOLD,1885.9,1882.2,1900.6
26.Apr.22,GOLD,1901.4,1894,1909.1
25.Apr.22,GOLD,1893.2,1889.3,1925
22.Apr.22,GOLD,1931,1930.2,1950.4
21.Apr.22,GOLD,1944.9,1942.5,1943.1
20.Apr.22,GOLD,1952.3,1945.5,1953.6
19.Apr.22,GOLD,1955.7,1945.7,1978.3
18.Apr.22,GOLD,1982.9,1972.8,1997.1
14.Apr.22,GOLD,1970.9,1963,1978.7
13.Apr.22,GOLD,1981,1969.5,1981
12.Apr.22,GOLD,1972.1,1950.6,1977.1
11.Apr.22,GOLD,1944.3,1941.8,1968.4
08.Apr.22,GOLD,1941.6,1928.8,1947.7
07.Apr.22,GOLD,1933.8,1919.5,1934.8
06.Apr.22,GOLD,1918.4,1916.7,1931.8
05.Apr.22,GOLD,1922.9,1918.4,1943.5
04.Apr.22,GOLD,1929.2,1915.6,1936.1
01.Apr.22,GOLD,1919.1,1917,1938
31.Mar.22,GOLD,1949.2,1919.1,1949.9
30.Mar.22,GOLD,1933.5,1914.5,1937
29.Mar.22,GOLD,1912,1893.5,1893.5
28.Mar.22,GOLD,1939.6,1932.6,1933.4
25.Mar.22,GOLD,1953.8,,
24.Mar.22,GOLD,1961.6,1963.6,1964
23.Mar.22,GOLD,1936.6,,
22.Mar.22,GOLD,1920.7,,
21.Mar.22,GOLD,1928.6,1925,1927.8
18.Mar.22,GOLD,1928.2,1934.5,1939.3
17.Mar.22,GOLD,1942.1,1933.9,1947.2
16.Mar.22,GOLD,1908,1907.2,1922.4
15.Mar.22,GOLD,1928.5,1910.7,1939.9
14.Mar.22,GOLD,1959.6,1963.1,1977.7
11.Mar.22,GOLD,1982.7,1959.9,1996
10.Mar.22,GOLD,1998.1,1978.1,2010.5
09.Mar.22,GOLD,1985.9,1980.8,2063
08.Mar.22,GOLD,2040.1,1998,2072
07.Mar.22,GOLD,1993.9,1963,2001.1
04.Mar.22,GOLD,1965.1,1935.6,1970.9
03.Mar.22,GOLD,1934.4,1924.8,1940.3
02.Mar.22,GOLD,1920.9,1919.8,1948.2
01.Mar.22,GOLD,1942.4,1903.8,1942.2
28.Feb.22,GOLD,1899.4,1894.2,1928.4
25.Feb.22,GOLD,1886.5,1883.6,1920
24.Feb.22,GOLD,1925.1,1911.7,1972.5
23.Feb.22,GOLD,1909.2,1895.7,1910.6
22.Feb.22,GOLD,1906.1,1890.8,1912
18.Feb.22,GOLD,1898.6,1890.7,1899.4
17.Feb.22,GOLD,1900.7,1876.2,1900.7
16.Feb.22,GOLD,1870.2,1856.3,1870.1
15.Feb.22,GOLD,1854.8,1847.4,1879.7
14.Feb.22,GOLD,1868,1854.6,1870.6
11.Feb.22,GOLD,1840.8,1822,1864.8
10.Feb.22,GOLD,1836.2,1820.8,1842.1
09.Feb.22,GOLD,1835.2,1825.3,1835.2
08.Feb.22,GOLD,1826.6,1815,1827.6
07.Feb.22,GOLD,1820.6,1809.1,1821.3
04.Feb.22,GOLD,1806.6,1792.5,1813.7
03.Feb.22,GOLD,1803,1787.9,1808.1
02.Feb.22,GOLD,1809.2,1795.1,1810.1
01.Feb.22,GOLD,1800.3,1797.1,1806.1
31.Jan.22,GOLD,1795,1785.1,1798.5
28.Jan.22,GOLD,1784.9,1778.8,1798.4
27.Jan.22,GOLD,1793.3,,
26.Jan.22,GOLD,1829.9,,
25.Jan.22,GOLD,1852.7,1842,1843.1
24.Jan.22,GOLD,1841.7,1837.9,1842.1
21.Jan.22,GOLD,1831.8,1828.9,1842.4
20.Jan.22,GOLD,1842.5,1838.2,1843
19.Jan.22,GOLD,1843.1,1817.4,1838.5
18.Jan.22,GOLD,1812.3,1813.5,1820.1
14.Jan.22,GOLD,1816.5,1821.5,1822
13.Jan.22,GOLD,1821.2,1815.4,1823
12.Jan.22,GOLD,1827.2,1816.9,1827.1
11.Jan.22,GOLD,1818.6,1803,1822.5
10.Jan.22,GOLD,1798.4,1790.4,1798.7
07.Jan.22,GOLD,1797,1784.4,1791.8
