date,ticker,close,low,high
26.May.22,RUS,182.72,179.7,183.8
25.May.22,RUS,178.73,174.81,179.78
24.May.22,RUS,175.57,172.33,176.93
23.May.22,RUS,178.21,175.5,178.96
20.May.22,RUS,176.08,171.79,178.97
19.May.22,RUS,176.53,174.89,178.81
18.May.22,RUS,176.24,175.1,181.41
17.May.22,RUS,182.64,178.99,182.84
16.May.22,RUS,177.22,176.14,179.44
13.May.22,RUS,178.07,175.01,179.41
12.May.22,RUS,172.6,168.9,174.34
11.May.22,RUS,170.6,170.3,178.19
10.May.22,RUS,174.95,171.2,178.91
09.May.22,RUS,174.9,174.1,182.65
06.May.22,RUS,182.58,180.55,185.42
05.May.22,RUS,185.67,183.38,191.56
04.May.22,RUS,193.52,185.69,193.93
03.May.22,RUS,188.49,185.68,189.51
02.May.22,RUS,186.89,182.38,187.82
29.Apr.22,RUS,184.95,184.51,191.73
28.Apr.22,RUS,190.45,184.71,191.4
27.Apr.22,RUS,186.96,186.26,189.78
26.Apr.22,RUS,187.74,187.48,192.71
25.Apr.22,RUS,193.85,189.21,194.11
22.Apr.22,RUS,192.68,192.29,197.37
21.Apr.22,RUS,197.8,197.02,204.8
20.Apr.22,RUS,202.33,201.86,203.87
19.Apr.22,RUS,201.56,197.69,202.24
18.Apr.22,RUS,197.62,196.53,199.18
14.Apr.22,RUS,198.96,198.87,202.37
13.Apr.22,RUS,200.91,197.61,201.45
12.Apr.22,RUS,197.16,196.42,201.68
11.Apr.22,RUS,196.54,195.88,199.25
08.Apr.22,RUS,197.87,197.5,200.31
07.Apr.22,RUS,199.46,196.68,201.23
06.Apr.22,RUS,200.11,198.68,201.8
05.Apr.22,RUS,202.99,202.51,209.44
04.Apr.22,RUS,207.91,205.88,208.43
01.Apr.22,RUS,207.57,205.01,207.72
31.Mar.22,RUS,205.27,205.15,208.91
30.Mar.22,RUS,207.46,206.61,211.74
29.Mar.22,RUS,211.71,207.88,212.25
28.Mar.22,RUS,206.19,203.03,206.21
25.Mar.22,RUS,206.12,204.44,206.62
24.Mar.22,RUS,205.84,202.73,205.9
23.Mar.22,RUS,203.9,203.75,207.2
22.Mar.22,RUS,207.5,205.8,208.79
21.Mar.22,RUS,205.44,203.94,208.18
18.Mar.22,RUS,207.27,204,207.45
17.Mar.22,RUS,205.11,200.3,205.21
16.Mar.22,RUS,201.94,196.15,201.94
15.Mar.22,RUS,195.78,192.88,195.79
14.Mar.22,RUS,192.71,191.88,197.44
11.Mar.22,RUS,196.73,196.44,201.76
10.Mar.22,RUS,199.92,196.56,200.04
09.Mar.22,RUS,200.28,197.62,201
08.Mar.22,RUS,194.79,193.46,199.57
07.Mar.22,RUS,193.72,193.68,199.59
04.Mar.22,RUS,198.66,196.98,200.86
03.Mar.22,RUS,201.82,200.29,205.11
02.Mar.22,RUS,204.24,200.69,205.3
01.Mar.22,RUS,199.49,197.8,203.79
28.Feb.22,RUS,203.32,200.46,204.6
25.Feb.22,RUS,202.5,197,202.62
24.Feb.22,RUS,198.04,187.92,198.48
23.Feb.22,RUS,192.98,192.55,198.9
22.Feb.22,RUS,196.66,195.35,200.45
18.Feb.22,RUS,199.47,198.76,202.72
17.Feb.22,RUS,201.2,200.78,205.03
16.Feb.22,RUS,206.49,204.08,207.27
15.Feb.22,RUS,206.06,202.63,206.31
14.Feb.22,RUS,200.68,199.24,203.53
11.Feb.22,RUS,201.38,199.69,206.06
10.Feb.22,RUS,203.44,202.12,209.05
09.Feb.22,RUS,206.61,204.3,206.65
08.Feb.22,RUS,202.76,199.36,203.12
07.Feb.22,RUS,199.36,197.99,201.16
04.Feb.22,RUS,198.38,194.92,200.1
03.Feb.22,RUS,197.53,197.05,201.24
02.Feb.22,RUS,201.34,199.29,203.9
01.Feb.22,RUS,203.36,197.97,203.57
31.Jan.22,RUS,201.24,193.85,201.24
28.Jan.22,RUS,195.25,188.09,195.31
27.Jan.22,RUS,191.52,190.6,199.61
26.Jan.22,RUS,195.97,193.72,203.55
25.Jan.22,RUS,198.84,194.56,201.7
24.Jan.22,RUS,201.53,191.23,202.39
21.Jan.22,RUS,196.99,196.99,203.02
20.Jan.22,RUS,200.75,200.33,208.99
19.Jan.22,RUS,204.45,204.38,209.46
18.Jan.22,RUS,207.83,207.53,212.44
14.Jan.22,RUS,214.31,210.58,214.4
13.Jan.22,RUS,214.01,213.38,218.19
12.Jan.22,RUS,215.99,214.64,219.38
11.Jan.22,RUS,217.61,212.96,217.83
10.Jan.22,RUS,215.32,211.11,215.39
07.Jan.22,RUS,216.07,215.93,220.38
06.Jan.22,RUS,218.6,215.82,220.42
05.Jan.22,RUS,217.36,217.32,225.91
04.Jan.22,RUS,224.98,223.38,227.13
03.Jan.22,RUS,225.32,222.73,226.69
31.Dec.21,RUS,222.45,222.39,224.12
30.Dec.21,RUS,222.93,222.7,225.43
29.Dec.21,RUS,222.99,221.26,223.49
28.Dec.21,RUS,222.75,222.35,225.73
27.Dec.21,RUS,224.12,220.6,224.24
23.Dec.21,RUS,222.04,220.34,222.8
22.Dec.21,RUS,220.28,217.13,220.35
21.Dec.21,RUS,218.18,212.06,218.39
20.Dec.21,RUS,212.12,208.76,212.94
17.Dec.21,RUS,215.14,210.3,217.35
16.Dec.21,RUS,213.18,212.25,219.9
15.Dec.21,RUS,217.58,211.08,218.16
14.Dec.21,RUS,214.18,213.31,217.52
13.Dec.21,RUS,216.04,214.75,219.05
10.Dec.21,RUS,219.91,218.32,222.85
09.Dec.21,RUS,220.52,220.48,225.81
08.Dec.21,RUS,225.63,223.06,226.54
07.Dec.21,RUS,224.1,221.98,226.04
06.Dec.21,RUS,219.02,213.71,220.69
03.Dec.21,RUS,214.71,212.71,220.38
02.Dec.21,RUS,219.21,213.82,219.94
01.Dec.21,RUS,213.26,213.15,224.21
30.Nov.21,RUS,218.17,215.88,221.86
29.Nov.21,RUS,222.71,221.24,226.75
26.Nov.21,RUS,222.85,219.64,226.17
24.Nov.21,RUS,231.58,228.54,231.99
23.Nov.21,RUS,231.33,228.62,233
22.Nov.21,RUS,231.73,231.62,235.74
19.Nov.21,RUS,232.72,232.39,234.42
18.Nov.21,RUS,234.86,233.05,237.07
17.Nov.21,RUS,235.86,235.13,238.13
16.Nov.21,RUS,238.99,236.95,239.37
15.Nov.21,RUS,238.55,237.55,240.76
12.Nov.21,RUS,239.5,238.74,240.21
11.Nov.21,RUS,239.26,237.66,240.38
10.Nov.21,RUS,237.35,236.31,241.56
09.Nov.21,RUS,241.15,239.54,242.53
08.Nov.21,RUS,242.56,241.93,244.46
05.Nov.21,RUS,241.81,240.2,243.4
04.Nov.21,RUS,238.55,237.56,240.94
03.Nov.21,RUS,238.64,233.92,239.81
02.Nov.21,RUS,234.45,232.65,234.85
01.Nov.21,RUS,233.96,228.89,234.18
