date,ticker,close,low,high
26.May.22,SPX,4055.75,3960.5,4073.5
25.May.22,SPX,3976.75,3913.5,3997.75
24.May.22,SPX,3940.5,3872,3954.5
23.May.22,SPX,3971.75,3906.5,3982.25
20.May.22,SPX,3899.5,3807.5,3949.5
19.May.22,SPX,3897.75,3856,3943.5
18.May.22,SPX,3922.75,3905.5,4095
17.May.22,SPX,4084.75,4000.5,4091.5
16.May.22,SPX,4004.75,3979.5,4043.5
13.May.22,SPX,4019.75,3915.5,4036
12.May.22,SPX,3927.25,3855,3961.75
11.May.22,SPX,3930.25,3923.75,4050.5
10.May.22,SPX,3996.75,3953,4065.5
09.May.22,SPX,3987.5,3970,4099
06.May.22,SPX,4119.5,4062,4153.25
05.May.22,SPX,4143.25,4099.25,4300.75
04.May.22,SPX,4295.25,4142.75,4303
03.May.22,SPX,4169.25,4129,4195.75
02.May.22,SPX,4151,4056,4165.75
29.Apr.22,SPX,4127.5,4118.75,4279.75
28.Apr.22,SPX,4283.5,4182.5,4303.5
27.Apr.22,SPX,4180.25,4149,4236.25
26.Apr.22,SPX,4170.5,4136.75,4303.5
25.Apr.22,SPX,4292.75,4195.25,4296.5
22.Apr.22,SPX,4267.25,4247.5,4393.25
21.Apr.22,SPX,4390.5,4380,4509
20.Apr.22,SPX,4455.5,4432.75,4484.25
19.Apr.22,SPX,4459.25,4371.75,4467
18.Apr.22,SPX,4386.75,4355.5,4406.25
14.Apr.22,SPX,4387.5,4385,4455.75
13.Apr.22,SPX,4442.25,4384,4449.5
12.Apr.22,SPX,4393,4375.5,4466.75
11.Apr.22,SPX,4409,4403.5,4491.25
08.Apr.22,SPX,4483.5,4468.75,4519.75
07.Apr.22,SPX,4496.25,4444.5,4517.25
06.Apr.22,SPX,4475.75,4444.5,4528.75
05.Apr.22,SPX,4520.25,4507.75,4588.75
04.Apr.22,SPX,4577.75,4527.75,4580
01.Apr.22,SPX,4539.25,4501.25,4555.5
31.Mar.22,SPX,4530.75,4526.25,4614.25
30.Mar.22,SPX,4596,4574.75,4627.5
29.Mar.22,SPX,4625.5,4565.25,4631
28.Mar.22,SPX,4568,4509.75,4572.25
25.Mar.22,SPX,4536.5,4493.25,4539
24.Mar.22,SPX,4512.5,4445.75,4517.5
23.Mar.22,SPX,4447.5,4444.75,4514
22.Mar.22,SPX,4505,4433,4514.75
21.Mar.22,SPX,4452.25,4415,4473
18.Mar.22,SPX,4409.35,4373.75,4402.75
17.Mar.22,SPX,4410.25,4329,4415.25
16.Mar.22,SPX,4358,4246.25,4376
15.Mar.22,SPX,4262,4138,4271.5
14.Mar.22,SPX,4172,4160.75,4254.5
