date,ticker,close,low,high
26.May.22,WTI,114.09,110.27,114.83
25.May.22,WTI,110.33,109.23,111.68
24.May.22,WTI,109.77,108.61,111.43
23.May.22,WTI,110.29,109.15,111.96
20.May.22,WTI,113.23,110.85,114.04
19.May.22,WTI,112.21,105.13,112.62
18.May.22,WTI,109.59,108.46,115.42
17.May.22,WTI,112.40,111.75,115.56
16.May.22,WTI,114.20,108.11,114.90
13.May.22,WTI,110.49,106.29,110.64
12.May.22,WTI,106.13,102.66,107.37
11.May.22,WTI,105.71,98.20,106.44
10.May.22,WTI,99.76,98.86,104.16
09.May.22,WTI,103.09,102.13,110.49
06.May.22,WTI,109.77,107.24,111.18
05.May.22,WTI,108.26,106.45,111.37
04.May.22,WTI,107.81,102.95,108.61
03.May.22,WTI,102.41,102.10,105.80
02.May.22,WTI,105.17,100.28,105.94
29.Apr.22,WTI,104.69,103.78,107.99
28.Apr.22,WTI,105.36,100.13,105.68
27.Apr.22,WTI,102.02,99.80,102.99
26.Apr.22,WTI,101.70,97.06,102.78
25.Apr.22,WTI,98.54,95.28,101.55
22.Apr.22,WTI,102.07,101.06,104.22
21.Apr.22,WTI,103.79,102.01,105.42
20.Apr.22,WTI,102.75,100.70,104.16
19.Apr.22,WTI,102.56,102.10,108.92
18.Apr.22,WTI,108.21,106.00,109.81
14.Apr.22,WTI,106.95,102.12,107.64
13.Apr.22,WTI,104.25,99.87,104.47
12.Apr.22,WTI,100.60,94.84,101.35
11.Apr.22,WTI,94.29,92.93,98.52
08.Apr.22,WTI,98.26,95.29,98.76
07.Apr.22,WTI,96.03,93.81,98.82
06.Apr.22,WTI,96.23,95.73,104.02
05.Apr.22,WTI,101.96,99.88,105.59
04.Apr.22,WTI,103.28,98.05,103.94
01.Apr.22,WTI,99.27,97.78,101.75
31.Mar.22,WTI,100.28,99.66,107.80
30.Mar.22,WTI,107.82,104.55,108.75
29.Mar.22,WTI,104.24,98.44,107.84
28.Mar.22,WTI,105.96,102.83,112.93
